station_id,station_name,station_lat,station_lon,station_type,distance_km,rank,walking_distance_m,walking_time_min
12461266487,"Harksheide, Libellengrund",53.687363,10.0089284,bus,0.2116412281434024,1,308.9,3.7066666666666666
12461266485,"Harksheide, Libellengrund",53.6873343,10.0089736,bus,0.21489840138341512,2,309.7,3.716666666666667
12461266486,"Harksheide, Libellengrund",53.6873,10.0090147,bus,0.2179965519219529,3,310.0,3.7199999999999998
12453593125,"Harksheide, Heidehofweg (West)",53.6835478,10.007341,bus,0.45485219292189805,4,534.6,6.415
12461266488,"Harksheide, Heidehofweg (West)",53.6835333,10.0072722,bus,0.45538563387215836,5,533.6,6.403333333333333
