station_id,name,latitude,longitude,station_type,transport_type,public_transport,transport_category
2245006705,"Appen, Marseille-Kaserne",53.6582961,9.7128679,bus_stop,bus,platform,bus
2245006706,"Appen, Ziegeleiweg",53.6597143,9.7053794,bus_stop,bus,platform,bus
2245006710,"Appen, Marseille-Kaserne",53.6583977,9.7128899,stop_position,stop_position,stop_position,bus
2245006711,"Appen, Schule",53.6613455,9.7359984,bus_stop,bus,platform,bus
2245006714,"Appen, Ziegeleiweg",53.6599298,9.7050471,bus_stop,bus,platform,bus
2245006715,"Appen, Marseille-Kaserne",53.6580783,9.7121404,bus_stop,bus,platform,bus
2245029552,"Moorrege, Lehmkuhlweg",53.6622488,9.6930038,bus_stop,bus,platform,bus
2245029559,"Moorrege, Lehmkuhlweg",53.6625263,9.6920235,bus_stop,bus,platform,bus
2245029567,"Moorrege, Oberglinde",53.6668029,9.6862461,bus_stop,bus,platform,bus
2245029573,"Moorrege, Oberglinde",53.6674077,9.6853986,bus_stop,bus,platform,bus
2246282171,"Rhen, Alter Postweg",53.7593617,9.996952,bus_stop,bus,platform,bus
2246282174,"Rhen, Alter Postweg",53.7599355,9.996887,bus_stop,bus,platform,bus
2246282183,"Rhen, Alter Postweg",53.7599269,9.9969768,stop_position,stop_position,stop_position,bus
2246894549,"Egenbüttel, Am Gedenkstein",53.6521834,9.8483913,stop_position,stop_position,stop_position,bus
2271179786,Brunnenstieg,53.5338016,9.8707968,bus_stop,bus,platform,bus
2271179787,Brunnenstieg,53.533843,9.8713628,bus_stop,bus,platform,bus
2275701702,Quellgrund,53.4530918,9.8669902,bus_stop,bus,platform,bus
2275701703,Quellgrund,53.4532043,9.8670936,bus_stop,bus,platform,bus
2281865988,Julius-Reincke-Stieg (Bethanien),53.5917328,9.9824095,stop_position,stop_position,stop_position,bus
2285325907,U Gänsemarkt,53.5552232,9.9890064,stop_position,stop_position,stop_position,bus
2285428945,Köpenicker Straße,53.5844349,10.1325058,stop_position,stop_position,stop_position,bus
2285428947,Köpenicker Straße,53.5845143,10.1345622,stop_position,stop_position,stop_position,bus
2286379677,U Gänsemarkt (Valentinskamp),53.5556686,9.9859598,stop_position,stop_position,stop_position,bus
2286847687,"Stellau, Huuskoppel",53.5910505,10.2309653,bus_stop,bus,platform,bus
2286847688,"Stellau, Huuskoppel",53.5910961,10.231055,bus_stop,bus,platform,bus
2292383278,Wiesnerring,53.4822875,10.1998346,bus_stop,bus,platform,bus
2292632520,S Nettelnburg,53.4884033,10.1832193,bus_stop,bus,platform,bus
2294997902,Stübkamp,53.5696549,10.2375104,stop_position,stop_position,stop_position,bus
2296114718,Billwerder Billdeich (Ost),53.4956924,10.1798577,bus_stop,bus,platform,bus
2296137903,Billwerder Billdeich (Ost),53.4959473,10.1800936,bus_stop,bus,platform,bus
2299868143,Zum Hünengrab (DESY),53.572125,9.8814887,bus_stop,bus,platform,bus
2299868149,Zum Hünengrab (DESY),53.5722097,9.8809597,bus_stop,bus,platform,bus
